date,price,cpi
1871-01-01,4.44,12.46406116
1871-02-01,4.5,12.84464132
1871-03-01,4.61,13.0349719
1871-04-01,4.74,12.55922645
1871-05-01,4.86,12.27381157
1871-06-01,4.82,12.08348099
1871-07-01,4.73,12.08348099
1871-08-01,4.79,11.8932314
1871-09-01,4.84,12.17864628
1871-10-01,4.59,12.36889587
1871-11-01,4.64,12.36889587
1871-12-01,4.74,12.65439174
1872-01-01,4.86,12.65439174
1872-02-01,4.88,12.65439174
1872-03-01,5.04,12.84464132
1872-04-01,5.18,13.13013719
1872-05-01,5.18,13.13013719
1872-06-01,5.13,13.0349719
1872-07-01,5.1,12.84464132
1872-08-01,5.04,12.93980661
1872-09-01,4.95,13.0349719
1872-10-01,4.97,12.74947603
1872-11-01,4.95,13.13013719
1872-12-01,5.07,12.93980661
1873-01-01,5.11,12.93980661
1873-02-01,5.15,13.22522149
1873-03-01,5.11,13.22522149
1873-04-01,5.04,13.22522149
1873-05-01,5.05,12.93980661
1873-06-01,4.98,12.55922645
1873-07-01,4.97,12.55922645
1873-08-01,4.97,12.55922645
1873-09-01,4.59,12.55922645
1873-10-01,4.19,12.27381157
1873-11-01,4.04,11.8932314
1873-12-01,4.42,12.17864628
1874-01-01,4.66,12.36889587
1874-02-01,4.8,12.36889587
1874-03-01,4.73,12.36889587
1874-04-01,4.6,12.17864628
1874-05-01,4.48,12.08348099
1874-06-01,4.46,11.79806612
1874-07-01,4.46,11.8932314
1874-08-01,4.47,11.79806612
1874-09-01,4.54,11.79806612
1874-10-01,4.53,11.60773554
1874-11-01,4.57,11.51265124
1874-12-01,4.54,11.51265124
1875-01-01,4.54,11.51265124
1875-02-01,4.53,11.51265124
1875-03-01,4.59,11.51265124
1875-04-01,4.65,11.60773554
1875-05-01,4.47,11.32232066
1875-06-01,4.38,11.13207107
1875-07-01,4.39,11.13207107
1875-08-01,4.41,11.22715537
1875-09-01,4.37,11.13207107
1875-10-01,4.3,11.13207107
1875-11-01,4.37,11.03690579
1875-12-01,4.37,10.9417405
1876-01-01,4.46,10.84657521
1876-02-01,4.52,10.84657521
1876-03-01,4.51,10.84657521
1876-04-01,4.34,10.75149091
1876-05-01,4.18,10.37091074
1876-06-01,4.15,10.08541488
1876-07-01,4.1,10.08541488
1876-08-01,3.93,10.18058017
1876-09-01,3.69,10.27574545
1876-10-01,3.67,10.46599504
1876-11-01,3.6,10.56116033
1876-12-01,3.58,10.75149091
1877-01-01,3.55,10.9417405
1877-02-01,3.34,10.65632562
1877-03-01,3.17,10.18058017
1877-04-01,2.94,10.46599504
1877-05-01,2.94,10.65632562
1877-06-01,2.73,10.08541488
1877-07-01,2.85,10.18058017
1877-08-01,3.05,9.8
1877-09-01,3.24,9.704834711
1877-10-01,3.31,9.704834711
1877-11-01,3.26,9.514585124
1877-12-01,3.25,9.514585124
1878-01-01,3.25,9.229089256
1878-02-01,3.18,9.134004959
1878-03-01,3.24,8.94367438
1878-04-01,3.33,8.848509091
1878-05-01,3.34,8.563094215
1878-06-01,3.41,8.372844628
1878-07-01,3.48,8.467928926
1878-08-01,3.45,8.563094215
1878-09-01,3.52,8.563094215
1878-10-01,3.48,8.467928926
1878-11-01,3.47,8.372844628
1878-12-01,3.45,8.18251405
1879-01-01,3.58,8.277679339
1879-02-01,3.71,8.372844628
1879-03-01,3.65,8.277679339
1879-04-01,3.77,8.18251405
1879-05-01,3.94,8.18251405
1879-06-01,3.96,8.087381157
1879-07-01,4.04,8.18251405
1879-08-01,4.07,8.18251405
1879-09-01,4.22,8.467928926
1879-10-01,4.68,8.94367438
1879-11-01,4.93,9.419419835
1879-12-01,4.92,9.704834711
1880-01-01,5.11,9.990330579
1880-02-01,5.2,9.990330579
1880-03-01,5.3,10.08541488
1880-04-01,5.18,9.704834711
1880-05-01,4.77,9.419419835
1880-06-01,4.79,9.229089256
1880-07-01,5.01,9.229089256
1880-08-01,5.19,9.229089256
